locus_tag	string_id	gene_class	gene_name	annotation
KOIAIB_03685	511145.b3475	core	acpT	4'-phosphopantetheinyl
KOIAIB_00942	511145.b0872	core	group_8821	NADH
KOIAIB_00137	511145.b0127	core	yadG	Uncharacterized
KOIAIB_03752	511145.b3533	core	bcsA	Cellulose
KOIAIB_00532	511145.b0485	core	glsA	glutaminase
KOIAIB_02246	511145.b2105	accessory	rcnR	Ni(II)/Co(II)-binding
KOIAIB_02419	511145.b2259	core	pmrD	Signal
KOIAIB_04409	511145.b4119	core	melA	alpha-galactosidase
KOIAIB_00660	511145.b0604	core	dsbG	thiol:disulfide
KOIAIB_01910	511145.b1794	core	dgcP	diguanylate
KOIAIB_01802	511145.b1690	core	ydiM	Major
KOIAIB_02035	511145.b1907	core	tyrP	tyrosine
KOIAIB_04443	511145.b4149	core	blc	lipocalin
KOIAIB_04683	511145.b4376	core	osmY	molecular
KOIAIB_00061	511145.b0059	core	rapA	RNA
KOIAIB_01827	511145.b1713	core	pheT~~~ytpR	phenylalanine--tRNA
KOIAIB_02067	511145.b1940	accessory	fliH	flagellar
KOIAIB_02307	511145.b2162	core	rihB	ribosylpyrimidine
KOIAIB_00652	511145.b0597	core	entH	proofreading
KOIAIB_00835	511145.b0774	core	bioA	adenosylmethionine--8-amino-7-oxononanoate
KOIAIB_04035	511145.b3794	core	wecG	lipopolysaccharide
KOIAIB_01613	511145.b1513	accessory	lsrA	autoinducer
KOIAIB_03377	511145.b3175	core	group_9093	preprotein
KOIAIB_03442	511145.b3238	core	group_9139	peroxide/acid
KOIAIB_00756	511145.b0700	accessory	rhsA~~~rhsC	RhsA;RHS
KOIAIB_01242	511145.b1167	core	ymgC	Uncharacterized
KOIAIB_04131	511145.b3879	accessory	yihR	aldose-1-epimerase
KOIAIB_02854	511145.b2673	core	nrdH	glutaredoxin-like
KOIAIB_01625	511145.b1525	core	sad	succinate-semialdehyde
KOIAIB_02204	511145.b2069	core	yegD	molecular
KOIAIB_03409	511145.b3207	core	group_9120	PhoP
KOIAIB_03144	511145.b2951	core	yggS	pyridoxal
KOIAIB_03284	511145.b3082	accessory	group_650	type
KOIAIB_03418	511145.b3215	accessory	yhcA	Uncharacterized
KOIAIB_01109	511145.b1034	core	ycdX	putative
KOIAIB_01441	511145.b1346	accessory	xisR	excisionase
KOIAIB_00509	511145.b0468	core	ybaN	DUF454
KOIAIB_02414	511145.b2255	core	arnA	bifunctional
KOIAIB_00034	511145.b0032	core	carA	carbamoyl
KOIAIB_00281	511145.b0256	accessory	group_693	IS30
KOIAIB_01318	511145.b1236	core	galU	UTP--glucose-1-phosphate
KOIAIB_01614	511145.b1514	accessory	lsrC	autoinducer
KOIAIB_01882	511145.b1765	core	ydjA	NAD(P)H
KOIAIB_02052	511145.b1923	accessory	fliC	H48
KOIAIB_02190	511145.b2055	accessory	wcaE	colanic
KOIAIB_03866	511145.b3635	core	mutM	bifunctional
KOIAIB_02233	511145.b2093	accessory	gatB	PTS
KOIAIB_02267	511145.b2124	core	yehS	Uncharacterized
KOIAIB_02407	511145.b2248	accessory	rhmR	Uncharacterized
KOIAIB_03301	511145.b3098	core	group_9053	Uncharacterized
KOIAIB_03367	511145.b3166	core	group_9087	tRNA
KOIAIB_04483	511145.b4188	core	group_9225	protease
KOIAIB_01148	511145.b1072	core	group_8146	Flagella
KOIAIB_00514	511145.b0473	core	htpG	molecular
KOIAIB_00889	511145.b0822	core	ybiV	sugar-phosphatase
KOIAIB_01089	511145.b1014	core	putA	L-glutamate
KOIAIB_03364	511145.b3164	core	group_9085	polyribonucleotide
KOIAIB_00080	511145.b0074	core	leuA	2-isopropylmalate
KOIAIB_00235	511145.b4586	accessory	ykfM	protein
KOIAIB_00551	511145.b0505	core	allA	ureidoglycolate
KOIAIB_03280	511145.b3080	core	ygjK	Glycosyl
KOIAIB_01959	511145.b1839	core	yebY	Uncharacterized
KOIAIB_01991	511145.b1867	core	yecD	hydrolase
KOIAIB_00120	511145.b0111	core	ampE	beta-lactamase
KOIAIB_00296	511145.b0269	accessory	yagF	xylonate
KOIAIB_02577	511145.b2412	core	zipA	cell
KOIAIB_02174	511145.b2040	accessory	rfbD	dTDP-4-dehydrorhamnose
KOIAIB_01302	511145.b1219	core	group_8940	DsrE/F
KOIAIB_03987	511145.b3746	core	ravA	ATPase
KOIAIB_00837	511145.b0776	core	bioF	8-amino-7-oxononanoate
KOIAIB_03840	511145.b3609	core	secB	protein-export
KOIAIB_03973	511145.b3732	core	atpD	F0F1
KOIAIB_00259	511145.b0238	core	gpt	xanthine
KOIAIB_00606	511145.b0557	accessory	iss~~~bor	increased
KOIAIB_00747	511145.b0692	accessory	group_8680	putrescine-ornithine
KOIAIB_03507	511145.b3299	core	rpmJ	50S
KOIAIB_03539	511145.b3331	accessory	gspJ	type
KOIAIB_03737	511145.b3518	core	ccp	cytochrome-c
KOIAIB_02818	511145.b2632	accessory	ykfA~~~yfjP	Uncharacterized
KOIAIB_04612	511145.b4309	core	nanS	putative
KOIAIB_00486	511145.b0445	core	ybaE	Uncharacterized
KOIAIB_03835	511145.b3604	core	lldR	transcriptional
KOIAIB_04078	511145.b3835	core	ubiB	ubiquinone
KOIAIB_01365	511145.b1276	core	acnA	aconitate
KOIAIB_01171	511145.b1095	core	fabF	beta-ketoacyl-ACP
KOIAIB_01402	511145.b1313	core	ycjQ	D-guloside
KOIAIB_01172	511145.b1096	core	pabC	aminodeoxychorismate
KOIAIB_01898	511145.b1781	core	yeaE	methylglyoxal
KOIAIB_02290	511145.b2146	core	preT	NAD-dependent
KOIAIB_00193	511145.b0179	core	lpxD	UDP-3-O-(3-hydroxymyristoyl)glucosamine
KOIAIB_01069	511145.b0995	core	group_8882	two-component
KOIAIB_00752	511145.b0696	core	kdpC	K(+)-transporting
KOIAIB_03065	511145.b2874	core	group_2726	carbamate
KOIAIB_03167	511145.b2972	accessory	pppA	prepilin
KOIAIB_00827	511145.b0767	accessory	pgl	6-phosphogluconolactonase
KOIAIB_01262	511145.b1186	core	nhaB	Na(+)/H(+)
KOIAIB_00685	511145.b0629	core	lysR~~~ybeF	LysR
KOIAIB_01448	511145.b1352	accessory	ftsZ~~~kilR	Cell
KOIAIB_02815	511145.b2628	accessory	abpA	anti-bacteriophage
KOIAIB_01435	511145.b1342	core	corA~~~zntB	CorA
KOIAIB_02145	511145.b4678	core	yoeI	Uncharacterized
KOIAIB_03292	511145.b3090	core	group_9045	Inner
KOIAIB_04253	511145.b3991	core	thiG	thiazole
KOIAIB_01503	511145.b1406	core	group_1188	pyridoxine
KOIAIB_01901	511145.b1784	core	yeaH	UPF0229
KOIAIB_01238	511145.b1162	accessory	bluR	DNA-binding
KOIAIB_04556	511145.b4260	core	pepA	leucyl
KOIAIB_04662	511145.b4356	accessory	lgoT	putative
KOIAIB_01388	511145.b1299	accessory	puuR	hypothetical
KOIAIB_01523	511145.b1422	core	ydcI	Uncharacterized
KOIAIB_00937	511145.b0867	core	group_8307	N-acetylmuramoyl-L-alanine
KOIAIB_00133	511145.b0123	core	cueO	multicopper
KOIAIB_00244	511145.b0225	accessory	yafQ	Toxin
KOIAIB_00455	511145.b0415	core	ribE	67-dimethyl-8-ribityllumazine
KOIAIB_04180	511145.b3921	core	yiiR	Uncharacterized
KOIAIB_01240	511145.b1164	core	ycgZ	regulatory
KOIAIB_01375	511145.b1285	core	pdeR	cyclic
KOIAIB_04379	511145.b4097	core	phnK	phosphonate
KOIAIB_00254	511145.b0233	accessory	yafO	hypothetical
KOIAIB_00430	511145.b0391	core	ppnP	pyrimidine/purine
KOIAIB_04588	511145.b4289	accessory	fecC	iron-dicitrate
KOIAIB_03501	511145.b3293	core	yhdN	Uncharacterized
KOIAIB_03506	511145.b3298	core	rpsM	30S
KOIAIB_03602	511145.b3393	core	hofO	DNA
KOIAIB_02385	511145.b2229	core	yfaT	hypothetical
KOIAIB_00146	511145.b0136	accessory	yadK	fimbrial-like
KOIAIB_00537	511145.b0490	core	ybbL~~~fetA	YbbL
KOIAIB_00440	511145.b0400	core	phoR	phosphate
KOIAIB_04543	511145.b4244	core	pyrI	aspartate
KOIAIB_03813	511145.b3584	accessory	yiaT	Putative
KOIAIB_02418	511145.b2258	core	arnF	4-amino-4-deoxy-L-arabinose-phosphoundecaprenol
KOIAIB_03990	511145.b3749	core	rbsA	ribose
KOIAIB_04216	511145.b3957	core	argE	acetylornithine
KOIAIB_03325	511145.b3126	core	group_9064	2-dehydro-3-deoxyglucarate
KOIAIB_03533	511145.b3325	accessory	gspD	type
KOIAIB_00003	511145.b0002	core	thrA	bifunctional
KOIAIB_00699	511145.b0643	core	ybeL	zinc
KOIAIB_01806	511145.b1694	core	group_1181	Acetate
KOIAIB_00343	511145.b0316	core	lysR~~~yahB	HTH
KOIAIB_03991	511145.b3750	core	rbsC	hypothetical
KOIAIB_04184	511145.b3925	core	glpX	class
KOIAIB_03520	511145.b3312	core	rpmC	50S
KOIAIB_03552	511145.b3344	core	tusC~~~tusD	sulfurtransferase
KOIAIB_03584	511145.b3375	accessory	frlR	putative
KOIAIB_02904	511145.b2721	core	hycE	formate
KOIAIB_02520	511145.b2360	accessory	group_8976	Uncharacterized
KOIAIB_01793	511145.b1683	core	sufB	Fe-S
KOIAIB_00305	511145.b0278	accessory	yagL	Uncharacterized
KOIAIB_03494	511145.b3287	core	def	peptide
KOIAIB_04422	511145.b4131	core	cadA	lysine
KOIAIB_00355	511145.b0326	accessory	yahL	Uncharacterized
KOIAIB_00849	511145.b0787	core	ybhM	Inner
KOIAIB_01592	511145.b1491	core	digH	Glycosyl
KOIAIB_03640	511145.b3432	core	glgB	14-alpha-glucan
KOIAIB_02959	511145.b2775	core	yqcE	Inner
KOIAIB_00474	511145.b0434	core	yajG	Uncharacterized
KOIAIB_00508	511145.b0467	core	priC	primosomal
KOIAIB_00680	511145.b0624	core	crcB	fluoride
KOIAIB_02593	511145.b2427	accessory	murR	HTH-type
KOIAIB_04380	511145.b4098	core	phnJ	alpha-D-ribose
KOIAIB_02345	511145.b2200	core	ccmB	heme
KOIAIB_02483	511145.b2322	core	yfcJ	MFS
KOIAIB_02102	511145.b1974	accessory	yodB	Cytochrome
KOIAIB_02206	511145.b2071	accessory	yegJ	DUF2314
KOIAIB_03342	511145.b3143	accessory	yraI	putative
KOIAIB_01170	511145.b1094	core	group_7000	PTS
KOIAIB_01939	511145.b1821	core	mntP	putative
KOIAIB_02149	511145.b4539	accessory	yoeB	type
KOIAIB_02250	511145.b2109	accessory	yehB	Outer
KOIAIB_03800	511145.b3572	core	avtA	valine--pyruvate
KOIAIB_00252	511145.b0231	core	dinB	DNA
KOIAIB_04622	511145.b4319	accessory	fimG	Protein
KOIAIB_04655	511145.b4349	accessory	group_2048	type
KOIAIB_03461	511145.b3256	core	accC	acetyl-CoA
KOIAIB_03852	511145.b3621	core	rfaC	lipopolysaccharide
KOIAIB_00826	511145.b0766	accessory	ybhA	bifunctional
KOIAIB_03946	511145.b3707	core	tnaC	Tryptophanase
KOIAIB_04018	511145.b3778	core	rep	DNA
KOIAIB_02099	511145.b1971	core	yedY~~~msrP	Sulfite
KOIAIB_02511	511145.b2351	accessory	yfdH	Bactoprenol
KOIAIB_02962	511145.b4682	accessory	yqcG	Small
KOIAIB_02996	511145.b2809	core	ygdI	Uncharacterized
KOIAIB_03034	511145.b2843	core	kduI	5-dehydro-4-deoxy-D-glucuronate
KOIAIB_01533	511145.b1432	accessory	insQ~~~tnpB	Putative
KOIAIB_01700	511145.b1595	core	ynfL	Uncharacterized
KOIAIB_02002	511145.b1876	core	argS	Arginine--tRNA
KOIAIB_02979	511145.b2793	core	syd	SecY-interacting
KOIAIB_03073	511145.b2882	core	xanQ	Xanthine
KOIAIB_04152	511145.b3899	accessory	frvB	Fructose-like
KOIAIB_02759	511145.b2576	core	srmB	ATP-dependent
KOIAIB_04684	511145.b4568	core	group_9251	UPF0391
KOIAIB_00029	511145.b0028	core	fkpB	FKBP-type
KOIAIB_00134	511145.b0124	core	gcd	quinoprotein
KOIAIB_03391	511145.b3189	core	group_9104	UDP-N-acetylglucosamine
KOIAIB_03257	511145.b3057	core	group_9030	undecaprenyl-diphosphate
KOIAIB_04421	511145.b4130	core	dtpC	Dipeptide
KOIAIB_00754	511145.b0698	core	group_2203	potassium-transporting
KOIAIB_02935	511145.b2751	core	cysN	sulfate
KOIAIB_00199	511145.b0185	core	accA	acetyl-CoA
KOIAIB_04550	511145.b4254	core	group_2635	Aspartate/ornithine
KOIAIB_02457	511145.b2296	core	ackA	Acetate
KOIAIB_02880	511145.b2697	core	alaS	alanine--tRNA
KOIAIB_01885	511145.b1768	core	pncA	bifunctional
KOIAIB_02193	511145.b2058	accessory	wcaB	colanic
KOIAIB_03265	511145.b3065	core	group_9035	30S
KOIAIB_03469	511145.b3264	core	acrS	Acref/envcd
KOIAIB_03702	511145.b3491	core	yhiM	Inner
KOIAIB_00404	511145.b0365	core	tauA	Taurine
KOIAIB_01197	511145.b1121	accessory	ycfZ	TPM
KOIAIB_01396	511145.b1307	core	pspD	phage
KOIAIB_01463	511145.b1370	accessory	group_171	IS5
KOIAIB_04058	511145.b3816	core	group_9170	magnesium/cobalt
KOIAIB_00967	511145.b0895	core	group_8834	DMSO/selenate
KOIAIB_04164	511145.b3907	core	rhaT	L-rhamnose/proton
KOIAIB_02023	511145.b1895	core	uspC	universal
KOIAIB_02197	511145.b2062	core	wza	polysaccharide
KOIAIB_00504	511145.b0463	core	acrA	Acriflavin
KOIAIB_00575	511145.b0529	core	folD	bifunctional
KOIAIB_03976	511145.b3735	core	atpH	F0F1
KOIAIB_04088	511145.b3845	core	fadA	acetyl-CoA
KOIAIB_02334	511145.b2188	core	yejM	LPS
KOIAIB_03944	511145.b3705	core	yidC	membrane
KOIAIB_03630	511145.b3422	core	rtcR	DNA-binding
KOIAIB_04120	511145.b3870	core	glnA	glutamate--ammonia
KOIAIB_04526	511145.b4485	core	ytfR	Galactofuranose
KOIAIB_00073	511145.b0069	core	sgrR	DNA-binding
KOIAIB_00883	511145.b0817	core	mntR	manganese-binding
KOIAIB_01420	511145.b1329	core	mppA	Periplasmic
KOIAIB_01919	511145.b1802	accessory	yeaW	Benzoate
KOIAIB_02436	511145.b2276	core	nuoN	NADH-quinone
KOIAIB_02742	511145.b2562	core	yfhL	4Fe-4S
KOIAIB_02888	511145.b2705	core	srlD	sorbitol-6-phosphate
KOIAIB_01031	511145.b0958	core	group_8866	SOS-induced
KOIAIB_01332	511145.b1247	core	oppF	murein
KOIAIB_02380	511145.b2224	accessory	atoB	hypothetical
KOIAIB_00513	511145.b0472	core	recR	recombination
KOIAIB_01267	511145.b1191	core	group_8925	potassium/proton
KOIAIB_02328	511145.b2182	core	bcr	multidrug
KOIAIB_02670	511145.b2498	core	upp	uracil
KOIAIB_01711	511145.b1605	core	ydgI	Putative
KOIAIB_03920	511145.b3684	accessory	gntR~~~yidP	GntR
KOIAIB_04026	511145.b3786	core	group_1683	non-hydrolyzing
KOIAIB_03349	511145.b3150	core	group_9074	division/outer
KOIAIB_03557	511145.b3349	core	slyD	peptidylprolyl
KOIAIB_04093	511145.b3850	core	hemG	menaquinone-dependent
KOIAIB_04472	511145.b4177	core	group_9220	adenylosuccinate
KOIAIB_01760	511145.b1653	accessory	group_1803	ATP-dependent
KOIAIB_02425	511145.b2265	core	menF	isochorismate
KOIAIB_01622	511145.b1522	core	dgcF	Putative
KOIAIB_01890	511145.b1773	accessory	ydjI	Uncharacterized
KOIAIB_04535	511145.b4237	core	nrdG	anaerobic
KOIAIB_00012	511145.b0011	core	msyB	acidic
KOIAIB_00185	511145.b0172	core	frr	ribosome
KOIAIB_03013	511145.b2825	core	ppdB	prepilin
KOIAIB_02843	511145.b2662	core	gabT	4-aminobutyrate--2-oxoglutarate
KOIAIB_00449	511145.b0409	core	secF	Protein
KOIAIB_00985	511145.b0913	core	ycaI	ComEC
KOIAIB_02432	511145.b2272	core	yfbM	Protein
KOIAIB_02600	511145.b2434	core	ypeA	GNAT
KOIAIB_00214	511145.b0198	core	metI	D-methionine
KOIAIB_00853	511145.b0791	core	ybhQ	Inner
KOIAIB_01055	511145.b0981	accessory	etk	Tyrosine-protein
KOIAIB_01938	511145.b1820	core	yobD	DUF986
KOIAIB_02111	511145.b1983	core	yeeN	putative
KOIAIB_03994	511145.b3753	core	rbsR	substrate-binding
KOIAIB_03868	511145.b3637	core	rpmB	50S
KOIAIB_04201	511145.b3941	core	group_9180	methylenetetrahydrofolate
KOIAIB_03130	511145.b2934	core	cmtB	PTS
KOIAIB_03232	511145.b3037	core	group_9022	DUF1190
KOIAIB_00677	511145.b0621	core	group_2193	C4-dicarboxylate
KOIAIB_00068	511145.b0064	core	group_284	arabinose
KOIAIB_04419	511145.b4559	core	ghoT	type
KOIAIB_04694	511145.b4382	core	deoA	thymidine
KOIAIB_02914	511145.b2731	core	group_1293	Formate
KOIAIB_03788	511145.b3561	core	wecH	O-acetyltransferase
KOIAIB_00097	511145.b0091	core	murC	UDP-N-acetylmuramate--L-alanine
